length,t_star,bond_dim,base_index,epsilon,num_prefixes,num_suffixes,num_sequences,hankel_diff_spec_raw,hankel_diff_fro_raw,hankel_diff_spec_proj,hankel_diff_fro_proj,total_mass_raw_clean,total_mass_raw_noisy,total_mass_proj_clean,total_mass_proj_noisy,kappa_raw_clean,kappa_raw_noisy,kappa_proj_inf_clean,kappa_proj_inf_noisy
5.0,2.0,4.0,1.0,0.01,4.0,8.0,32.0,0.0010517713535131955,0.002477656810045466,0.0006638574875036504,0.0012347210363700821,0.24096780044820693,0.2400592610361793,0.040277503763704973,0.040181641253975144,0.9983807751628699,0.9990374761882479,0.7847392371299851,0.7804604008283945
10.0,5.0,4.0,1.0,0.01,32.0,32.0,1024.0,0.0002552578516815884,0.0015607695966952083,0.00014172319237040372,0.0002827036160562149,0.189190210320773,0.18752118379387203,0.0402774053257687,0.04018157130969278,0.9983807751628699,1.0088692266962531,0.8640828128584457,0.8626816723725069
15.0,7.0,4.0,1.0,0.01,128.0,256.0,32768.0,6.713127834327157e-05,0.00045156515858822677,1.6544274800191994e-05,5.5158511116428006e-05,0.18731127302272252,0.1877400161534034,0.0402774053227699,0.04018157130606292,0.9983807751628699,1.0088692266962531,0.8640828128584457,0.8626816723725069
20.0,10.0,4.0,1.0,0.01,256.0,256.0,65536.0,1.8103267123602992e-06,2.535280061316212e-05,3.8033729137629137e-07,4.083944969290081e-06,0.1869374413629366,0.18741002864522013,0.04027740532276913,0.04018157130606219,0.9983807751628699,1.0088692266962531,0.8640828128584457,0.8626816723725069
5.0,2.0,4.0,2.0,0.001,4.0,8.0,32.0,0.00015573361167609264,0.0006032836741628591,6.893814743760189e-05,0.00011435612318659919,0.2112409708351723,0.21112209375557267,0.05892510149071563,0.05898319670263713,0.9993979600434196,0.9997391679899963,0.7774243431622427,0.7774473745178092
10.0,5.0,4.0,2.0,0.001,32.0,32.0,1024.0,2.9751586406486876e-05,0.00014858308193624095,2.5349728881194425e-05,3.463702931386583e-05,0.2178716586272676,0.21780859193574678,0.05892491464693466,0.058983010358769974,0.9993979600434196,0.9997391679899963,0.8041823884588477,0.8042977300823052
15.0,7.0,4.0,2.0,0.001,128.0,256.0,32768.0,1.0556252361292076e-05,4.344535311952933e-05,1.69421789697619e-06,6.425406539294011e-06,0.2160000993822344,0.21616814944278243,0.05892491465745629,0.05898301036944983,0.9993979600434196,0.9997391679899963,0.8592402106256107,0.8592055690334812
20.0,10.0,4.0,2.0,0.001,256.0,256.0,65536.0,5.213203605230444e-07,2.9741048795026696e-06,3.210864409740854e-08,3.73524840726096e-07,0.2158393869465008,0.21574723360873044,0.058924914657454884,0.058983010369448405,0.9993979600434196,0.9997391679899963,0.8592402106256107,0.8592055690334812
5.0,2.0,4.0,2.0,0.003,4.0,8.0,32.0,0.0007063482100531408,0.001271291023903415,0.00014025074802876574,0.00028186327917024035,0.2112409708351723,0.21184102804043373,0.05892510149071563,0.05898537916108532,0.9993979600434196,0.9961651844388769,0.7774243431622427,0.7768679717095491
10.0,5.0,4.0,2.0,0.003,32.0,32.0,1024.0,0.0001571801953232321,0.0004286192277333423,4.218961134357846e-05,0.00010241277009510869,0.2178716586272676,0.21755299222676383,0.05892491464693466,0.05898519108727656,0.9993979600434196,0.9982128447575118,0.8041823884588477,0.8049949098176439
15.0,7.0,4.0,2.0,0.003,128.0,256.0,32768.0,2.1881538573130333e-05,0.00012158284532136861,7.83628718593374e-06,2.1038836250939214e-05,0.2160000993822344,0.2160124106334812,0.05892491465745629,0.058985191097991344,0.9993979600434196,1.0007803846978336,0.8592402106256107,0.8595620605943287
20.0,10.0,4.0,2.0,0.003,256.0,256.0,65536.0,4.5043915645918764e-07,9.022197731625457e-06,1.4211990536396837e-07,1.0647728827865769e-06,0.2158393869465008,0.21510181330788317,0.058924914657454884,0.05898519109798994,0.9993979600434196,1.0007803846978336,0.8592402106256107,0.8595620605943287
5.0,2.0,4.0,2.0,0.01,4.0,8.0,32.0,0.001486400501408177,0.004263629036144816,0.00040469670999736945,0.0010062964094293178,0.2112409708351723,0.21162512724019522,0.05892510149071563,0.05895179235147041,0.9993979600434196,0.996460937153343,0.7774243431622427,0.7804177138333964
10.0,5.0,4.0,2.0,0.01,32.0,32.0,1024.0,0.0003100528669072212,0.0013919546107366563,8.006470523766834e-05,0.00025677778359673397,0.2178716586272676,0.21912031001860469,0.05892491464693466,0.05895159381120213,0.9993979600434196,0.9972473796836488,0.8041823884588477,0.8028903169539722
15.0,7.0,4.0,2.0,0.01,128.0,256.0,32768.0,2.93250833962882e-05,0.0004238679714341561,2.078923003855239e-05,5.4091490799378936e-05,0.2160000993822344,0.214228621669294,0.05892491465745629,0.05895159382341452,0.9993979600434196,0.9972473796836488,0.8592402106256107,0.8583869543071757
20.0,10.0,4.0,2.0,0.01,256.0,256.0,65536.0,1.2549023788554425e-06,2.516148320132418e-05,5.158017666868855e-07,3.0515065419551243e-06,0.2158393869465008,0.21565468486624,0.058924914657454884,0.05895159382341308,0.9993979600434196,0.9972473796836488,0.8592402106256107,0.8583869543071757
5.0,2.0,4.0,3.0,0.001,4.0,8.0,32.0,0.00028624501347569893,0.0005640862589470094,1.3085359395366234e-05,4.79058616500612e-05,0.33870493499684096,0.3388658439695764,0.043834154745568496,0.043871886375696584,0.9957665390168909,0.9956043961948047,0.8310902047559874,0.8308781675764021
10.0,5.0,4.0,3.0,0.001,32.0,32.0,1024.0,5.014854473703363e-05,0.0002175461273502662,9.134586949367194e-06,1.82065698071125e-05,0.3476789423630292,0.3474035364955651,0.04383402035042058,0.04387175333135901,0.9957665390168909,0.9956043961948047,0.8919980674921317,0.8919602626204011
15.0,7.0,4.0,3.0,0.001,128.0,256.0,32768.0,1.5725503193396764e-06,4.251429828235799e-05,1.1001932535203104e-06,4.789511948055499e-06,0.34880155673479457,0.34826815278578926,0.04383402034867736,0.04387175332962451,0.9957665390168909,0.9956043961948047,0.9451019724131497,0.9449146103067936
20.0,10.0,4.0,3.0,0.001,256.0,256.0,65536.0,2.7724913407537297e-07,2.4642570296849567e-06,6.330798868707579e-08,2.6421341780016075e-07,0.34861284276050464,0.3486335579432036,0.04383402034867716,0.043871753329624334,0.9957665390168909,0.9956043961948047,0.9587099618758501,0.9586898582368913
5.0,2.0,4.0,3.0,0.003,4.0,8.0,32.0,0.0012274713764243667,0.0021735256571003324,0.00018722748779681695,0.0003560623122568284,0.33870493499684096,0.3395571583669019,0.043834154745568496,0.04381693336429738,0.9957665390168909,0.9946187361285596,0.8310902047559874,0.8309857274868591
10.0,5.0,4.0,3.0,0.003,32.0,32.0,1024.0,0.00015245329782962653,0.0005442253520559218,4.471878442240572e-05,9.949437967925645e-05,0.3476789423630292,0.35001606912623384,0.04383402035042058,0.043816796028445334,0.9957665390168909,0.9946187361285596,0.8919980674921317,0.8921105197740654
15.0,7.0,4.0,3.0,0.003,128.0,256.0,32768.0,1.0013628692768303e-05,0.00013222412799863365,6.707806424753143e-06,2.075478510630409e-05,0.34880155673479457,0.3513261124853704,0.04383402034867736,0.043816796026742606,0.9957665390168909,0.9946187361285596,0.9451019724131497,0.9453632323039174
20.0,10.0,4.0,3.0,0.003,256.0,256.0,65536.0,1.2984048337649643e-06,8.172161077363327e-06,2.5719460005087026e-07,1.2096755149128772e-06,0.34861284276050464,0.35261435949938374,0.04383402034867716,0.043816796026742405,0.9957665390168909,0.9955613964294572,0.9587099618758501,0.9590150656348574
5.0,2.0,4.0,3.0,0.01,4.0,8.0,32.0,0.0012782799484282999,0.004383484370678585,0.0005961976775986767,0.0013514520602445291,0.33870493499684096,0.3419388073829466,0.043834154745568496,0.04363434304649341,0.9957665390168909,1.0013203704713496,0.8310902047559874,0.828226963279467
10.0,5.0,4.0,3.0,0.01,32.0,32.0,1024.0,0.0002658067636816853,0.0015519312154303976,3.2936471697884966e-05,0.0003496414908046839,0.3476789423630292,0.3478599592273125,0.04383402035042058,0.0436341985726381,0.9957665390168909,1.0013203704713496,0.8919980674921317,0.8946938978533859
15.0,7.0,4.0,3.0,0.01,128.0,256.0,32768.0,1.5872293545240307e-05,0.0004191356834337064,1.510621115011219e-05,7.701595411070812e-05,0.34880155673479457,0.34915660498429013,0.04383402034867736,0.043634198571298535,0.9957665390168909,1.0013203704713496,0.9451019724131497,0.9465388883487172
20.0,10.0,4.0,3.0,0.01,256.0,256.0,65536.0,3.6861914788187875e-06,2.4445426735490112e-05,1.862054124937652e-06,3.974005127617207e-06,0.34861284276050464,0.3452124928027166,0.04383402034867716,0.04363419857129835,0.9957665390168909,1.0053440436461678,0.9587099618758501,0.9592825721657338
5.0,2.0,4.0,4.0,0.001,4.0,8.0,32.0,0.00012604084594079317,0.0005039572394960912,4.575817243753839e-05,0.00014535420024029854,0.1638324486810825,0.16394864619318905,0.09214066529518443,0.09214220257207437,0.9986694115631842,0.9993093918930901,0.8711547633558565,0.8711198638358864
10.0,5.0,4.0,4.0,0.001,32.0,32.0,1024.0,6.807553890776082e-05,0.00020649649458500058,1.0090208390692206e-05,3.676988664776842e-05,0.1637167400450663,0.16397435251849246,0.09214556049109063,0.09214707272544481,0.9986694115631842,0.9993093918930901,0.8989525101051656,0.8990435939429118
15.0,7.0,4.0,4.0,0.001,128.0,256.0,32768.0,4.5984082624335974e-06,5.3044742899880226e-05,1.214856678264459e-06,7.3127723037639675e-06,0.17052734530890357,0.17049440181119707,0.09214556049170262,0.09214707272603999,0.9986694115631842,0.9993093918930901,0.9478663295725535,0.9478981105291381
20.0,10.0,4.0,4.0,0.001,256.0,256.0,65536.0,6.847433788455978e-07,2.902704958673524e-06,2.510725838768002e-08,3.686761811055737e-07,0.1698852838311813,0.16979212347045486,0.09214556049170844,0.09214707272604579,0.9986694115631842,0.9993093918930901,0.9478663295725535,0.9478981105291381
5.0,2.0,4.0,4.0,0.003,4.0,8.0,32.0,0.0005674158618787069,0.0014745689042340645,8.357572338342991e-05,0.00029193381917315246,0.1638324486810825,0.1637403219007922,0.09214066529518443,0.09220034775711661,0.9986694115631842,0.9982109225668246,0.8711547633558565,0.871846418231795
