model,length,rank,sample_size,trial,sigma1,sigma2,sigma3,log_sigma3,hankel_frob_mid,hankel_spec_mid,mu_row,mu_col,mu_max,frob_error,spectral_error,tv_error,max_error,sigma_min_emp,delta_over_sigma_min,prefixes,suffixes
rank1,6.0,1.0,200.0,10.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.08448406449514567,0.05772926169627501,0.038725487495706715,0.02246808305836981,1.2433548785070816,0.046430237009719676,9.0,9.0
rank1,6.0,1.0,200.0,11.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.13545920418962326,0.10548409947911339,0.03803253657180487,0.02026707283393908,1.2050918156063537,0.08753200222012796,9.0,9.0
rank1,6.0,1.0,200.0,12.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.09084947726248493,0.0740116521873925,0.10398381187992753,0.051632147157598285,1.2228399098566622,0.06052440028398152,9.0,9.0
rank1,6.0,1.0,200.0,13.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.09219664780938001,0.06605055505698999,0.002702028174714379,0.0014966482613405219,1.2338801384548082,0.05353077093833871,9.0,9.0
rank1,6.0,1.0,200.0,14.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.11794980448025477,0.08765484923520932,0.09569250745709008,0.047935077000071505,1.2253779690493838,0.07153290776331621,9.0,9.0
rank1,6.0,1.0,200.0,15.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.13848026808890987,0.10303327869589265,0.15193677748946402,0.1009066088278695,1.2511122383521633,0.08235334571708572,9.0,9.0
rank1,6.0,1.0,200.0,16.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.11099443324893032,0.08479329497025699,0.018422210750155415,0.010446553001271258,1.2365163409671112,0.06857434241745482,9.0,9.0
rank1,6.0,1.0,200.0,17.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.13272718532154065,0.10668683785889206,0.014030384279315635,0.007917150287399699,1.2122401366059403,0.08800800653045236,9.0,9.0
rank1,6.0,1.0,200.0,18.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.09042689629862762,0.07375545217655623,0.028373044785616204,0.015279296820366384,1.214705065440921,0.060718815023451,9.0,9.0
rank1,6.0,1.0,200.0,19.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.10518590718611073,0.08082966251382218,0.05682062857448199,0.03365549478637575,1.2520925425472254,0.0645556616361474,9.0,9.0
rank1,6.0,1.0,200.0,20.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.07735947252886378,0.0518303626749842,0.08125150989085148,0.041331702691221744,1.2226648498339208,0.042391308363877896,9.0,9.0
rank1,6.0,1.0,1000.0,1.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.0552319184626765,0.03685491875569972,0.005562157593409519,0.003109198635357996,1.2287040400759894,0.029994952041844363,9.0,9.0
rank1,6.0,1.0,1000.0,2.0,0.22779311889279336,0.0,0.0,-36.841361487904734,0.2277931188927931,0.22779311889279336,0.3975422348870346,0.3975422348870346,0.3975422348870346,0.03953597017831031,0.027347845192080923,0.06497946076949354,0.038852335919799724,1.2212307718218438,0.022393675153863955,9.0,9.0
