length,base_index,bond_max,bond_eff,depth,t_star,tail_energy_sum,tail_energy_norm,delta_th,delta_psi,delta_psi_over_tail,prob_diff_l2,hankel_diff_fro,hankel_diff_spec,base_rank_full,rank_delta_th,rank_delta_spec,rank_success_delta_th,rank_success_delta_spec,trunc_rank_num_1e-10,base_rank_eps_1e-12,trunc_rank_eps_1e-12,base_rank_eps_1e-10,trunc_rank_eps_1e-10,base_rank_eps_1e-08,trunc_rank_eps_1e-08,base_rank_eps_1e-06,trunc_rank_eps_1e-06
10,0,8,4,10,5,0.542706509305535,0.7366861674454971,1.4733723348909942,0.8046927492881704,1.0923141832274252,0.04069745842753551,0.04069745842753551,0.027157001723796946,32,0,1,1,1,16,32,16,32,16,32,16,32,16
10,0,8,8,10,5,0.21765348847531177,0.46653348055130167,0.9330669611026033,0.4806172290352218,1.0301880766783926,0.021455244418613427,0.021455244418613427,0.010216036208343169,32,0,4,1,1,32,32,32,32,32,32,32,32,32
10,1,8,2,10,5,0.805926357498072,0.8977340126663754,1.7954680253327508,1.0577921333392157,1.1782912515450417,0.057227104840766235,0.057227104840766235,0.03812409234757102,32,0,1,1,1,4,32,4,32,4,32,4,32,4
10,1,8,4,10,5,0.5264104238342024,0.7255414694104,1.4510829388208,0.7897107724875815,1.088443329268729,0.041174322356915004,0.041174322356915004,0.02388092042064418,32,0,1,1,1,16,32,16,32,16,32,16,32,16
10,1,8,8,10,5,0.2589344917887477,0.50885606195539,1.01771212391078,0.5275384005001751,1.0367143873121882,0.024895154287970307,0.024895154287970307,0.01179768701175811,32,0,3,1,1,32,32,32,32,32,32,32,32,32
10,2,8,2,10,5,0.8145639123465072,0.9025319453329655,1.805063890665931,1.067124260281623,1.1823673010133016,0.059684229519814884,0.059684229519814884,0.041773592167950166,32,0,0,1,1,4,32,4,32,4,32,4,32,4
10,2,8,4,10,5,0.6004342340055391,0.7748769153907858,1.5497538307815717,0.8577736919594541,1.1069805732009215,0.0417415294579835,0.0417415294579835,0.021611133872310624,32,0,1,1,1,16,32,16,32,16,32,16,32,16
10,2,8,8,10,5,0.24486742777555492,0.49484081053966733,0.9896816210793347,0.5118913102537952,1.034456535012811,0.023416352111267674,0.023416352111267674,0.010326705288143457,32,0,3,1,1,32,32,32,32,32,32,32,32,32
10,3,8,2,10,5,0.8085265128948745,0.8991810234290282,1.7983620468580563,1.0605877279520532,1.1795041268859305,0.05355194773634661,0.05355194773634661,0.036556989858053335,32,0,0,1,1,4,32,4,32,4,32,4,32,4
10,3,8,4,10,5,0.4958562996310947,0.7041706466696085,1.408341293339217,0.7615369009565582,1.0814664095390298,0.03501850274062356,0.03501850274062356,0.017338255381827684,32,0,1,1,1,16,32,16,32,16,32,16,32,16
