model,length,sample_size,trial,rank_true,rank_used,delta_hankel,sigma_min_true,sigma_min_emp,mu,kappa_B,F_raw,F_proj,max_error_raw,tv_error_raw,max_error_proj,tv_error_proj,scaled_error_raw,scaled_error_proj,prefixes,suffixes,eval_words,effective_samples,sumB_norm_raw
low,8,10000,2,9,4,0.006419967270343507,0.0,0.004620511200138038,0.22089104596927764,0.999257429304567,7.958508563579472,8.0,0.6532693294225927,0.9627542456781473,0.05372318155328389,0.541625335178297,0.0,0.0,16,16,256,10000,2.1644227580021637e-10
low,8,10000,3,11,4,0.007592289260595618,0.0,0.0051101963675559865,0.31390344355908456,0.9737950176639071,6.642978155012859,8.0,0.8806782199038112,0.9045119792170404,0.0699582005808559,0.6913213613520103,0.0,0.0,16,16,256,10000,1.957023926864814e-10
low,8,10000,4,11,4,0.007906648696253451,0.0,0.0035442313293095333,0.31381863087046497,0.9954509187917143,7.7487018284011935,8.0,0.5648913162632753,0.9608567154001744,0.06751768913379755,0.6226222036127791,0.0,0.0,16,16,256,10000,2.8348348307589037e-10
low,8,10000,5,9,4,0.005108361204167495,4.645278509614556e-10,0.005085676682454742,0.19791762008543293,0.9843786688838705,7.165150978278871,8.0,0.8481076955084438,0.9862747913848072,0.030514098767099082,0.47096992344485866,5.4984137301883446e-11,1.7718310905382673e-12,16,16,256,10000,1.9663380467845565e-10
low,10,1000,1,19,4,0.011716116660883753,1.79402232389191e-10,0.01108493017066685,0.1016072402429131,0.9408085667545895,5.774459901316323,10.0,0.45708924027813447,0.8069102058933224,0.01647956398755607,0.5463142731662174,1.4200952384877346e-11,2.956470568168077e-13,32,32,1024,1000,9.021186037052673e-11
low,10,1000,2,18,4,0.015816613813055207,0.0,0.011547188926391637,0.1612232350299621,0.9831666409116158,8.583100736084328,10.0,0.5105155219486215,0.8872387045850855,0.018987462817353185,0.5000000000000007,0.0,0.0,32,32,1024,1000,1.557635174655918e-08
low,10,1000,3,19,4,0.015216885373529493,1.887100896872428e-10,0.011833950101966664,0.20784058004172182,0.9781972812182229,8.200457133618192,10.0,0.8943582416356225,0.9393287288139766,0.04273294444233692,0.8501289025859109,2.0581099473062756e-11,8.064137778313363e-13,32,32,1024,1000,8.450263406293149e-11
low,10,1000,4,16,4,0.020521866430535197,2.249826904678869e-10,0.014359885015318357,0.24342677174886113,0.9836686147767565,8.62262172382806,10.0,0.7664606515149109,0.9436542087175921,0.05336299713495571,0.721296582358951,1.999860193786146e-11,1.2005750666852476e-12,32,32,1024,1000,2.462228219753097e-09
low,10,1000,5,18,4,0.01594432888818429,2.1409656405461165e-10,0.011470517718652234,0.1058613040886904,0.9784217516899685,8.217408784793477,10.0,0.4988099874718052,0.9462929487006029,0.011728541758848958,0.6810593172066568,1.2996007285345407e-11,2.5110404919405934e-13,32,32,1024,1000,6.036788379510919e-08
low,10,3000,1,20,4,0.009474447196492743,1.1894839595904928e-10,0.007139636180241297,0.17388032017416422,0.9936625854294476,9.443879520799706,10.0,0.6096520817653324,0.9818953485789319,0.028037801144358707,0.7033033195514911,7.678744424827298e-12,3.3350514723402646e-13,32,32,1024,3000,3.345156098488727e-08
low,10,3000,2,20,4,0.01100827255060466,1.0935418711992913e-10,0.008246917330035169,0.17234115040560988,0.9996506073206487,9.968598570137285,10.0,0.25356845574998016,0.8959852465142438,0.029375316479902353,0.543469225841043,2.7816118948616592e-12,3.21231385505038e-13,32,32,1024,3000,3.447241945888528e-10
low,10,3000,3,20,4,0.008449568694123036,0.0,0.009053213939220907,0.19574147652085291,0.9688273312452361,7.519993034540759,10.0,0.12757612820281775,0.923025159122326,0.015582191028252135,0.49641503480653515,0.0,0.0,32,32,1024,3000,0.00045234335011821547
low,10,3000,4,18,4,0.010434446787719799,1.8669225686055793e-10,0.007753232774324296,0.2097038988485582,0.9808814352668401,8.405211269040603,10.0,0.3588091555729482,0.9440088142737749,0.03807824273518438,0.7355552374949759,7.969685578622086e-12,7.108913073515716e-13,32,32,1024,3000,1.3975107455777294e-07
low,10,3000,5,17,4,0.010948043902900205,0.0,0.006144238553062487,0.21770144181080126,0.9654018119115331,7.284051140897291,10.0,0.4892732103906097,0.8370785450725603,0.0342914683367881,0.6677174508932526,0.0,0.0,32,32,1024,3000,8.656502857677225e-08
low,10,10000,1,16,4,0.007461101487259218,0.0,0.004376822861594275,0.20661198094623134,0.994102877486837,9.481607602025822,10.0,0.9939540740577616,0.9939540740577604,0.03401167870628377,0.575184904434457,0.0,0.0,32,32,1024,10000,2.2846702892146732e-10
low,10,10000,2,18,4,0.0044382565681929335,1.284168606569296e-10,0.008928609145168447,0.15403481400289928,0.9764248903596632,8.067696919487855,10.0,0.06359186277519138,0.7644718370378161,0.02258202516721286,0.7744118022187865,1.0122179182500504e-12,2.899912779249251e-13,32,32,1024,10000,1.119998625491165e-10
low,10,10000,3,21,4,0.004930882399603432,1.7556236641596545e-10,0.004050660778185624,0.12435381049811277,0.9861049711619049,8.816746083717602,10.0,0.9993917092319974,0.9993917092319973,0.012716234579157165,0.6511533314595457,1.990026385962163e-11,2.2324922346173604e-13,32,32,1024,10000,2.4687048471846875e-10
low,10,10000,4,17,4,0.007001956970011767,8.43549807279991e-11,0.0032113769914133942,0.4597016068289469,0.974284071937461,7.909889617906844,10.0,0.47356844271838444,0.9244931990890979,0.08497596425620574,0.7471026866538838,5.0503684360476675e-12,7.168145827175375e-13,32,32,1024,10000,3.1143597193480735e-10
low,10,10000,5,17,4,0.005078840284999596,0.0,0.005115951581199623,0.12068755116121188,0.993210913654979,9.405315044072374,10.0,0.6319101156455869,0.8924856366074904,0.016514017414410102,0.5000000000000007,0.0,0.0,32,32,1024,10000,1.9546728440110738e-10
high,8,1000,1,16,4,0.01438668022280663,2.0177035202118754e-06,0.017018149527156252,0.21448480394695976,0.9983045742954877,7.905537708970864,8.0,0.5903094808994018,0.9403456576844833,0.044210102555302444,0.4887523309771387,1.506626824730206e-07,1.1150359944345222e-08,16,16,256,1000,1.4739158913655922e-10
