section,length,d,bond_dim,trial,sample_size,method,K,error_spec,error_fro,p_true,abs_error,sq_error
amplitude,,,,,1000,qae,2,,,0.15,0.0023075188936668434,5.3246434446294525e-06
amplitude,,,,,1000,qae,4,,,0.15,0.003949393169271259,1.559770640548648e-05
amplitude,,,,,1000,qae,8,,,0.15,0.0006339023678972044,4.0183221202568275e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0015738860112389785,2.477117176373742e-06
amplitude,,,,,1000,qae,32,,,0.15,1.8506556541425523e-05,3.424926350209798e-10
amplitude,,,,,1000,classical,0,,,0.15,0.011999999999999983,0.0001439999999999996
amplitude,,,,,1000,qae,1,,,0.15,0.0012588421570260966,1.5846835763061156e-06
amplitude,,,,,1000,qae,2,,,0.15,0.0022547841827002257,5.084051710555125e-06
amplitude,,,,,1000,qae,4,,,0.15,0.00247434931760368,6.122404545525797e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0010604587640187235,1.1245727901841187e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0009320616026919359,8.687388312126602e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0004971939885805576,2.472018622806437e-07
amplitude,,,,,1000,classical,0,,,0.15,0.0030000000000000027,9.000000000000015e-06
amplitude,,,,,1000,qae,1,,,0.15,0.0008010029884532588,6.416057875110515e-07
amplitude,,,,,1000,qae,2,,,0.15,0.009146703918129523,8.366219256592596e-05
amplitude,,,,,1000,qae,4,,,0.15,0.001476645323586434,2.1804814116696847e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0006687272032273872,4.4719607233632325e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0001754446258981912,3.0780816756556266e-08
amplitude,,,,,1000,qae,32,,,0.15,0.00030492214157207265,9.297751242089912e-08
amplitude,,,,,1000,classical,0,,,0.15,0.007000000000000006,4.9000000000000087e-05
amplitude,,,,,1000,qae,1,,,0.15,0.002092480418420556,4.378474301473465e-06
amplitude,,,,,1000,qae,2,,,0.15,0.0023801599757882486,5.665161510344316e-06
amplitude,,,,,1000,qae,4,,,0.15,0.0026466232628489517,7.004614695453231e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0017364066762257102,3.0151081452412184e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0008847957116493721,7.828634513531189e-07
amplitude,,,,,1000,qae,32,,,0.15,0.00012923430852243567,1.670150649927209e-08
amplitude,,,,,1000,classical,0,,,0.15,0.010999999999999982,0.00012099999999999961
amplitude,,,,,1000,qae,1,,,0.15,0.011785665385175143,0.00013890190857131554
amplitude,,,,,1000,qae,2,,,0.15,0.0037388736323830662,1.3979176038929344e-05
amplitude,,,,,1000,qae,4,,,0.15,0.00027741038459919154,7.695652148347137e-08
amplitude,,,,,1000,qae,8,,,0.15,0.0002976181582441395,8.857656811663367e-08
amplitude,,,,,1000,qae,16,,,0.15,0.0006372738248138221,4.06117927792838e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0003614222199666006,1.3062602108558584e-07
amplitude,,,,,1000,classical,0,,,0.15,0.0050000000000000044,2.5000000000000045e-05
amplitude,,,,,1000,qae,1,,,0.15,0.009992634252188742,9.985273929801566e-05
amplitude,,,,,1000,qae,2,,,0.15,0.002583548788092749,6.674724340455511e-06
amplitude,,,,,1000,qae,4,,,0.15,0.005428356146079505,2.9467050448679137e-05
amplitude,,,,,1000,qae,8,,,0.15,0.002885218071506046,8.324483320145067e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0001437674480333495,2.066907911402185e-08
amplitude,,,,,1000,qae,32,,,0.15,1.6729365747203406e-05,2.798716783037026e-10
amplitude,,,,,1000,classical,0,,,0.15,0.0030000000000000027,9.000000000000015e-06
amplitude,,,,,1000,qae,1,,,0.15,0.0070065020611310425,4.9091071132633544e-05
amplitude,,,,,1000,qae,2,,,0.15,0.0008753252553397872,7.661943026356637e-07
amplitude,,,,,1000,qae,4,,,0.15,0.0013821682662008006,1.910389116092527e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0006815552728605956,4.645175899640809e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0005201543946220799,2.7056059424466244e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0007878409017046117,6.206932863987357e-07
amplitude,,,,,1000,classical,0,,,0.15,0.01100000000000001,0.00012100000000000022
amplitude,,,,,1000,qae,1,,,0.15,0.01176904262210382,0.00013851036424089637
amplitude,,,,,1000,qae,2,,,0.15,0.0008481535542137209,7.193644515253672e-07
amplitude,,,,,1000,qae,4,,,0.15,0.001759725109614002,3.0966324614060117e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0006520170054720165,4.2512617542469553e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0001856027215495215,3.4448370246589215e-08
amplitude,,,,,1000,qae,32,,,0.15,0.0005006400259216781,2.5064043555485853e-07
amplitude,,,,,1000,classical,0,,,0.15,0.0040000000000000036,1.600000000000003e-05
amplitude,,,,,1000,qae,1,,,0.15,0.004196055032622964,1.7606877836800504e-05
amplitude,,,,,1000,qae,2,,,0.15,0.0028764991885951996,8.274247581988842e-06
amplitude,,,,,1000,qae,4,,,0.15,0.0007999720141425026,6.399552234112125e-07
amplitude,,,,,1000,qae,8,,,0.15,9.140805486279602e-06,8.355432493799927e-11
amplitude,,,,,1000,qae,16,,,0.15,0.0016946916946649904,2.8719799399664967e-06
amplitude,,,,,1000,qae,32,,,0.15,0.0006231582663773216,3.8832622495438897e-07
amplitude,,,,,1000,classical,0,,,0.15,0.012999999999999984,0.00016899999999999958
amplitude,,,,,1000,qae,1,,,0.15,0.003329147310009828,1.1083221811745673e-05
amplitude,,,,,1000,qae,2,,,0.15,0.005053340873538675,2.5536253984176624e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0006216915507196441,3.865003842361958e-07
amplitude,,,,,1000,qae,8,,,0.15,0.002676492227237953,7.163610642465179e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0003748306201222795,1.4049799378125263e-07
amplitude,,,,,1000,qae,32,,,0.15,0.00010537247750974643,1.1103359016542018e-08
amplitude,,,,,1000,classical,0,,,0.15,0.01100000000000001,0.00012100000000000022
amplitude,,,,,1000,qae,1,,,0.15,0.01375042908458829,0.00018907430001029155
amplitude,,,,,1000,qae,2,,,0.15,0.01301279877889236,0.00016933293205994248
amplitude,,,,,1000,qae,4,,,0.15,0.003960418424597267,1.56849140978895e-05
amplitude,,,,,1000,qae,8,,,0.15,0.0007561026223965039,5.716911755948702e-07
amplitude,,,,,1000,qae,16,,,0.15,0.00036456167804385653,1.3290521709815251e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0002666849319374609,7.112085292248815e-08
amplitude,,,,,1000,classical,0,,,0.15,0.0030000000000000027,9.000000000000015e-06
amplitude,,,,,1000,qae,1,,,0.15,6.572562482601296e-05,4.319857758769811e-09
amplitude,,,,,1000,qae,2,,,0.15,0.007609410135637956,5.790312261234966e-05
amplitude,,,,,1000,qae,4,,,0.15,0.001636287170165951,2.6774357032496956e-06
amplitude,,,,,1000,qae,8,,,0.15,0.00031024364823889483,9.625112127257911e-08
amplitude,,,,,1000,qae,16,,,0.15,0.0007133639116179424,5.088880703988515e-07
amplitude,,,,,1000,qae,32,,,0.15,6.427265961983508e-05,4.130974774607179e-09
amplitude,,,,,1000,classical,0,,,0.15,0.012999999999999984,0.00016899999999999958
amplitude,,,,,1000,qae,1,,,0.15,0.012210905716310921,0.00014910621841263474
amplitude,,,,,1000,qae,2,,,0.15,0.0028315427728728415,8.01763447460842e-06
amplitude,,,,,1000,qae,4,,,0.15,0.000999254704106195,9.985099636783593e-07
amplitude,,,,,1000,qae,8,,,0.15,0.001229168247720902,1.5108545812052728e-06
amplitude,,,,,1000,qae,16,,,0.15,0.00028076676869215333,7.882997840183313e-08
amplitude,,,,,1000,qae,32,,,0.15,0.0002285649810514767,5.2241950563061905e-08
amplitude,,,,,1000,classical,0,,,0.15,0.0010000000000000009,1.0000000000000019e-06
amplitude,,,,,1000,qae,1,,,0.15,0.0016584402592567382,2.750424093523557e-06
amplitude,,,,,1000,qae,2,,,0.15,0.000331934348838242,1.1018041193866774e-07
amplitude,,,,,1000,qae,4,,,0.15,0.0001351559418402426,1.826712861472304e-08
amplitude,,,,,1000,qae,8,,,0.15,0.0012753144825473905,1.6264270293951185e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0005496391780787369,3.021032260790694e-07
amplitude,,,,,1000,qae,32,,,0.15,8.11483169080307e-05,6.585049337006182e-09
amplitude,,,,,1000,classical,0,,,0.15,0.009000000000000008,8.100000000000014e-05
amplitude,,,,,1000,qae,1,,,0.15,0.0017312400033238085,2.9971919491086203e-06
amplitude,,,,,1000,qae,2,,,0.15,0.0139409062694415,0.00019434886761335332
amplitude,,,,,1000,qae,4,,,0.15,0.0013934451648246193,1.9416894273731107e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0009312875607071225,8.672965207278224e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0010833907290585254,1.1737354718099633e-06
amplitude,,,,,1000,qae,32,,,0.15,0.0006615295254386311,4.3762131302706045e-07
amplitude,,,,,1000,classical,0,,,0.15,0.01100000000000001,0.00012100000000000022
amplitude,,,,,1000,qae,1,,,0.15,0.010495466277527205,0.00011015481238271076
amplitude,,,,,1000,qae,2,,,0.15,0.005858813024423454,3.4325690055153895e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0005996315123976415,3.5955795066028283e-07
amplitude,,,,,1000,qae,8,,,0.15,0.0013662512486875,1.866642474540153e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0008792857670850418,7.731434601983304e-07
amplitude,,,,,1000,qae,32,,,0.15,0.00026217881895823636,6.873773311033568e-08
amplitude,,,,,1000,classical,0,,,0.15,0.024999999999999994,0.0006249999999999997
amplitude,,,,,1000,qae,1,,,0.15,0.007379497564453996,5.4456984303782465e-05
amplitude,,,,,1000,qae,2,,,0.15,3.5337687776942905e-05,1.2487521774207e-09
amplitude,,,,,1000,qae,4,,,0.15,0.0010563387752698938,1.1158516081386993e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0009007972549827381,8.114356945844361e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0004474600346042745,2.0022048256805855e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0002616191610091967,6.844458540715598e-08
amplitude,,,,,1000,classical,0,,,0.15,0.023999999999999994,0.0005759999999999997
amplitude,,,,,1000,qae,1,,,0.15,0.010374431997247469,0.0001076288392655121
amplitude,,,,,1000,qae,2,,,0.15,0.005159690590024413,2.6622406984786472e-05
amplitude,,,,,1000,qae,4,,,0.15,0.002459578638226767,6.049527077621438e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0007335000918941292,5.38022384808696e-07
amplitude,,,,,1000,qae,16,,,0.15,0.000218941511415216,4.793538542077916e-08
amplitude,,,,,1000,qae,32,,,0.15,0.0003505791186372287,1.2290571842445606e-07
amplitude,,,,,1000,classical,0,,,0.15,0.0020000000000000018,4.0000000000000074e-06
amplitude,,,,,1000,qae,1,,,0.15,0.0018319602146465719,3.356078228047914e-06
